2024.01.30 22:41:17 INFO  Started: Metals version 1.2.0 in folders 'C:\Users\shash\Downloads\Big Data' for client Visual Studio Code 1.85.1.
Jan 30, 2024 10:41:19 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 1
2024.01.30 22:41:32 INFO  Running List(C:\Users\shash\AppData\Local\Coursier\data\bin\scala-cli.BAT, setup-ide, C:\Users\shash\Downloads\Big Data)
2024.01.30 22:41:33 INFO  Attempting to connect to the build server...
2024.01.30 22:41:33 INFO  Running BSP server List(C:\Users\shash\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, C:\Users\shash\Downloads\Big Data\.scala-build\ide-options-v2.json, C:\Users\shash\Downloads\Big Data)
2024.01.30 22:41:34 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\shash\Downloads\Big Data\.metals\bsp.trace.json or C:\Users\shash\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.01.30 22:41:35 INFO  BSP server: Checking https://github.com/coursier/jvm-index/raw/master/index.json
2024.01.30 22:41:35 INFO  BSP server: Checked https://github.com/coursier/jvm-index/raw/master/index.json
2024.01.30 22:41:35 INFO  BSP server: Downloading https://github.com/coursier/jvm-index/raw/master/index.json
2024.01.30 22:41:35 INFO  BSP server: Downloaded https://github.com/coursier/jvm-index/raw/master/index.json
2024.01.30 22:41:35 INFO  BSP server: Downloading https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip
2024.01.30 22:41:41 INFO  BSP server: Still downloading:
2024.01.30 22:41:41 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (3.68 %, 6946816 / 188690370)
2024.01.30 22:41:41 INFO  BSP server: 
2024.01.30 22:41:43 INFO  no build target found for C:\Users\shash\Downloads\Big Data\helloworld.scala. Using presentation compiler with project's scala-library version: 3.3.1
2024.01.30 22:41:46 INFO  BSP server: Still downloading:
2024.01.30 22:41:46 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (8.78 %, 16564224 / 188690370)
2024.01.30 22:41:46 INFO  BSP server: 
2024.01.30 22:41:52 INFO  BSP server: Still downloading:
2024.01.30 22:41:52 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (13.35 %, 25182208 / 188690370)
2024.01.30 22:41:52 INFO  BSP server: 
2024.01.30 22:41:58 INFO  BSP server: Still downloading:
2024.01.30 22:41:58 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (19.15 %, 36126720 / 188690370)
2024.01.30 22:41:58 INFO  BSP server: 
2024.01.30 22:42:02 WARN  no build target for: C:\Users\shash\Downloads\Big Data\helloworld.scala
2024.01.30 22:42:04 INFO  BSP server: Still downloading:
2024.01.30 22:42:04 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (23.91 %, 45121536 / 188690370)
2024.01.30 22:42:04 INFO  BSP server: 
2024.01.30 22:42:09 INFO  BSP server: Still downloading:
2024.01.30 22:42:09 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (28.27 %, 53346304 / 188690370)
2024.01.30 22:42:09 INFO  BSP server: 
2024.01.30 22:42:15 INFO  BSP server: Still downloading:
2024.01.30 22:42:15 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (33.51 %, 63225856 / 188690370)
2024.01.30 22:42:15 INFO  BSP server: 
2024.01.30 22:42:18 WARN  no build target for: C:\Users\shash\Downloads\Big Data\helloworld.scala
2024.01.30 22:42:20 INFO  BSP server: Still downloading:
2024.01.30 22:42:20 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (38.26 %, 72187904 / 188690370)
2024.01.30 22:42:20 INFO  BSP server: 
2024.01.30 22:42:25 INFO  BSP server: Still downloading:
2024.01.30 22:42:25 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (43.15 %, 81428480 / 188690370)
2024.01.30 22:42:25 INFO  BSP server: 
2024.01.30 22:42:30 INFO  BSP server: Still downloading:
2024.01.30 22:42:30 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (47.55 %, 89718784 / 188690370)
2024.01.30 22:42:30 INFO  BSP server: 
2024.01.30 22:42:34 ERROR Timeout waiting for 'build/initialize' response
2024.01.30 22:42:34 WARN  Retrying connection to the build server scala-cli
2024.01.30 22:42:34 INFO  Running BSP server List(C:\Users\shash\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, C:\Users\shash\Downloads\Big Data\.scala-build\ide-options-v2.json, C:\Users\shash\Downloads\Big Data)
2024.01.30 22:42:35 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\shash\Downloads\Big Data\.metals\bsp.trace.json or C:\Users\shash\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.01.30 22:42:35 INFO  BSP server: Downloading https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip
2024.01.30 22:42:40 INFO  BSP server: Still downloading:
2024.01.30 22:42:40 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (55.42 %, 104565246 / 188690370)
2024.01.30 22:42:40 INFO  BSP server: 
2024.01.30 22:42:45 INFO  BSP server: Still downloading:
2024.01.30 22:42:45 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (60.34 %, 113854974 / 188690370)
2024.01.30 22:42:45 INFO  BSP server: 
2024.01.30 22:42:51 INFO  BSP server: Still downloading:
2024.01.30 22:42:51 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (65.49 %, 123570686 / 188690370)
2024.01.30 22:42:51 INFO  BSP server: 
2024.01.30 22:42:57 INFO  BSP server: Still downloading:
2024.01.30 22:42:57 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (70.17 %, 132401662 / 188690370)
2024.01.30 22:42:57 INFO  BSP server: 
2024.01.30 22:43:03 INFO  BSP server: Still downloading:
2024.01.30 22:43:03 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (75.01 %, 141527550 / 188690370)
2024.01.30 22:43:03 INFO  BSP server: 
2024.01.30 22:43:09 INFO  BSP server: Still downloading:
2024.01.30 22:43:09 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (79.16 %, 149359102 / 188690370)
2024.01.30 22:43:09 INFO  BSP server: 
2024.01.30 22:43:15 INFO  BSP server: Still downloading:
2024.01.30 22:43:15 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (83.79 %, 158108158 / 188690370)
2024.01.30 22:43:15 INFO  BSP server: 
2024.01.30 22:43:21 INFO  BSP server: Still downloading:
2024.01.30 22:43:21 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (89.76 %, 169363966 / 188690370)
2024.01.30 22:43:21 INFO  BSP server: 
2024.01.30 22:43:27 INFO  BSP server: Still downloading:
2024.01.30 22:43:27 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip (95.44 %, 180079102 / 188690370)
2024.01.30 22:43:27 INFO  BSP server: 
2024.01.30 22:43:32 INFO  BSP server: Downloaded https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_x64_windows_hotspot_17_35.zip
2024.01.30 22:43:35 ERROR Timeout waiting for 'build/initialize' response
2024.01.30 22:43:35 WARN  Retrying connection to the build server scala-cli
2024.01.30 22:43:35 INFO  Running BSP server List(C:\Users\shash\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, C:\Users\shash\Downloads\Big Data\.scala-build\ide-options-v2.json, C:\Users\shash\Downloads\Big Data)
2024.01.30 22:43:35 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at C:\Users\shash\Downloads\Big Data\.metals\bsp.trace.json or C:\Users\shash\AppData\Local\scalameta\metals\cache\bsp.trace.json
2024.01.30 22:43:41 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-3/bloop-frontend_2.12-1.5.11-sc-3.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-3/bloop-frontend_2.12-1.5.11-sc-3.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-3/bloop-backend_2.12-1.5.11-sc-3.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/scala-debug-adapter_2.12/3.1.4/scala-debug-adapter_2.12-3.1.4.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.12/1.5.5/bloop-config_2.12-1.5.5.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.18/scala-library-2.12.18.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2024.01.30 22:43:42 INFO  BSP server: Downloading https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/scala-debug-adapter_2.12/3.1.4/scala-debug-adapter_2.12-3.1.4.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-3/bloop-backend_2.12-1.5.11-sc-3.pom
2024.01.30 22:43:42 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
